id;value;question;time_stamp
1;15599;Practical Fresh Pants;2019-12-20T09:30:54
2;14286;deposit Tasty Metal Bacon Implementation;2019-12-20T23:55:22
3;18182;Soap methodology Albania;2019-12-20T13:34:30
4;2306;Namibia;2019-12-20T14:20:42
5;13949;zero administration;2019-12-20T15:08:56
6;23277;Licensed Savings Account;2019-12-20T14:45:45
7;51423;Mississippi Refined Rubber Chicken Table;2019-12-20T22:22:49
8;1326;Usability South Dakota envisioneer;2019-12-20T23:33:30
9;9767;Nakfa;2019-12-20T13:22:41
10;68326;Investment Account;2019-12-20T03:56:43
